"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2023","24.50","24.50","24.50","24.50","17.81K","0.00%"
"02/27/2023","24.50","24.50","24.50","24.50","7.48K","0.00%"
"02/23/2023","24.50","24.50","24.50","24.50","0.05K","0.00%"
"02/22/2023","24.50","24.50","24.50","24.50","0.39K","0.00%"
"02/20/2023","24.50","24.50","24.50","24.50","10.20K","0.00%"
"02/19/2023","24.50","24.50","24.50","24.50","0.23K","0.00%"
"02/16/2023","24.50","24.50","24.50","24.50","10.00K","0.00%"
"02/15/2023","24.50","24.50","24.50","24.50","10.81K","0.00%"
"02/14/2023","24.50","24.50","24.50","24.50","16.19K","0.00%"
"02/13/2023","24.50","24.50","24.50","24.50","0.51K","0.00%"
"02/12/2023","24.50","24.50","24.50","24.50","8.45K","0.00%"
"02/09/2023","24.50","24.50","24.50","24.50","11.47K","0.00%"
"02/08/2023","24.50","24.50","24.50","24.50","10.98K","0.00%"
"02/07/2023","24.50","24.50","24.50","24.50","2.30K","0.00%"
"02/06/2023","24.50","24.50","24.50","24.50","4.89K","0.00%"
"02/05/2023","24.50","24.50","24.50","24.50","26.10K","0.00%"
"02/02/2023","24.50","24.50","24.50","24.50","7.70K","0.00%"
"02/01/2023","24.50","24.50","24.50","24.50","1.40K","0.00%"
"01/31/2023","24.50","24.50","24.50","24.50","5.93K","0.00%"
"01/30/2023","24.50","24.50","24.50","24.50","2.93K","0.00%"
"01/29/2023","24.50","24.50","24.50","24.50","3.98K","0.00%"
"01/26/2023","24.50","24.50","24.50","24.50","8.19K","0.00%"
"01/25/2023","24.50","24.50","24.80","24.50","20.88K","0.00%"
"01/24/2023","24.50","24.50","24.50","24.50","14.83K","0.00%"
"01/23/2023","24.50","24.50","24.50","24.50","14.21K","0.00%"
"01/22/2023","24.50","24.50","24.90","24.50","49.07K","0.00%"
"01/19/2023","24.50","24.70","25.00","24.50","96.00K","-0.41%"
"01/18/2023","24.60","25.20","25.20","24.50","60.85K","-1.60%"
"01/17/2023","25.00","24.50","25.10","24.50","100.65K","2.04%"
"01/16/2023","24.50","24.70","24.80","24.50","87.16K","-1.21%"
"01/15/2023","24.80","24.50","25.00","24.50","57.72K","1.22%"
"01/12/2023","24.50","24.50","24.50","24.50","31.46K","0.00%"
"01/11/2023","24.50","24.90","24.90","24.50","87.89K","-1.61%"
"01/10/2023","24.90","24.50","25.50","24.50","75.22K","1.63%"
"01/09/2023","24.50","24.50","24.50","24.50","4.93K","0.00%"
"01/08/2023","24.50","24.50","24.50","24.50","3.08K","0.00%"
"01/05/2023","24.50","24.50","24.50","24.50","6.95K","0.00%"
"01/04/2023","24.50","24.50","24.50","24.50","1.66K","0.00%"
"01/03/2023","24.50","24.50","24.50","24.50","10.01K","0.00%"
"01/02/2023","24.50","24.50","24.50","24.50","2.48K","0.00%"
"01/01/2023","24.50","24.50","24.50","24.50","15.96K","0.00%"
